Circumferential ensemble averaged static pressure coefficient and 
stator generated unsteady pressure coefficient

     R/R2    Teta(deg)    Cp        Cp'
    .53333   -91.430   -.03993    .00396
    .53333   -90.787   -.03480    .00425
    .53333   -90.144   -.02914    .00442
    .53333   -89.501   -.02324    .00485
    .53333   -88.859   -.01683    .00502
    .53333   -88.216   -.01011    .00502
    .53333   -87.573   -.00339    .00576
    .53333   -86.930    .00350    .00610
    .53333   -86.287    .01110    .00615
    .53333   -85.644    .01857    .00683
    .53333   -85.001    .02588    .00749
    .53333   -84.359    .03314    .00756
    .53333   -83.716    .04000    .00786
    .53333   -83.073    .04709    .00804
    .53333   -82.430    .05314    .00805
    .53333   -81.787    .05906    .00782
    .53333   -81.144    .06482    .00759
    .53333   -80.501    .06944    .00703
    .53333   -79.858    .07396    .00688
    .53333   -79.216    .07826    .00656
    .53333   -78.573    .08140    .00700
    .53333   -77.930    .08468    .00721
    .53333   -77.287    .08738    .00721
    .53333   -76.644    .08988    .00733
    .53333   -76.001    .09212    .00749
    .53333   -75.358    .09325    .00771
    .53333   -74.716    .09438    .00713
    .53333   -74.073    .09442    .00723
    .53333   -73.430    .09339    .00688
    .53333   -72.787    .09082    .00644
    .53333   -72.144    .08669    .00622
    .53333   -71.501    .08049    .00649
    .53333   -70.858    .07242    .00675
    .53333   -70.216    .06133    .00737
    .53333   -69.573    .04783    .00783
    .53333   -68.930    .03181    .00842
    .53333   -68.287    .01375    .00879
    .53333   -67.644   -.00477    .00839
    .53333   -67.001   -.02279    .00762
    .53333   -66.358   -.03916    .00675
    .53333   -65.716   -.05323    .00587
    .53333   -65.073   -.06553    .00508
    .53333   -64.430   -.07467    .00435
    .53333   -63.787   -.08117    .00412
    .53333   -63.144   -.08519    .00411
    .53333   -62.501   -.08678    .00405
    .53333   -61.858   -.08776    .00393
    .53333   -61.216   -.08833    .00409
    .53333   -60.573   -.08838    .00424
    .53333   -59.930   -.08754    .00454
    .53333   -59.287   -.08747    .00479
    .53333   -58.644   -.08796    .00502
    .53333   -58.001   -.08760    .00481
    .53333   -57.358   -.08618    .00512
    .53333   -56.715   -.08497    .00502
    .53333   -56.073   -.08425    .00474
    .53333   -55.430   -.08349    .00445
    .53333   -54.787   -.08407    .00435
    .53333   -54.144   -.08472    .00445
    .53333   -53.501   -.08665    .00395
    .53333   -52.858   -.08872    .00423
    .53333   -52.215   -.08939    .00502
    .53333   -51.573   -.09216    .00512
    .53333   -50.930   -.09349    .00562
    .53333   -50.287   -.09499    .00495
    .53333   -49.644   -.09618    .00468
    .53333   -49.001   -.09680    .00466
    .53333   -48.358   -.09707    .00463
    .53333   -47.715   -.09762    .00490
    .53333   -47.073   -.09689    .00528
    .53333   -46.430   -.09488    .00504
    .53333   -45.787   -.09159    .00499
    .53333   -45.144   -.08802    .00502
    .53333   -44.501   -.08375    .00550
    .53333   -43.858   -.07945    .00517
    .53333   -43.215   -.07494    .00507
    .53333   -42.573   -.07064    .00475
    .53333   -41.930   -.06692    .00440
    .53333   -41.287   -.06299    .00432
    .53333   -40.644   -.05877    .00406
    .53333   -40.001   -.05441    .00382
    .53333   -39.358   -.04991    .00474
    .53333   -38.715   -.04507    .00515
    .53333   -38.073   -.04002    .00564
    .53333   -37.430   -.03476    .00624
    .53333   -36.787   -.02927    .00646
    .53333   -36.144   -.02350    .00631
    .53333   -35.501   -.01677    .00645
    .53333   -34.858   -.01026    .00676
    .53333   -34.215   -.00401    .00683
    .53333   -33.572    .00309    .00742
    .53333   -32.930    .00970    .00780
    .53333   -32.287    .01673    .00796
    .53333   -31.644    .02319    .00798
    .53333   -31.001    .02983    .00766
    .53333   -30.358    .03553    .00741
    .53333   -29.715    .04156    .00667
    .53333   -29.072    .04692    .00643
    .53333   -28.430    .05201    .00621
    .53333   -27.787    .05676    .00574
    .53333   -27.144    .06084    .00622
    .53333   -26.501    .06524    .00673
    .53333   -25.858    .06866    .00688
    .53333   -25.215    .07110    .00669
    .53333   -24.572    .07362    .00690
    .53333   -23.930    .07559    .00720
    .53333   -23.287    .07721    .00724
    .53333   -22.644    .07870    .00720
    .53333   -22.001    .07955    .00703
    .53333   -21.358    .07917    .00670
    .53333   -20.715    .07745    .00692
    .53333   -20.072    .07476    .00711
    .53333   -19.430    .06998    .00766
    .53333   -18.787    .06345    .00798
    .53333   -18.144    .05458    .00814
    .53333   -17.501    .04320    .00822
    .53333   -16.858    .02928    .00918
    .53333   -16.215    .01299    .00882
    .53333   -15.572   -.00352    .00825
    .53333   -14.929   -.02097    .00801
    .53333   -14.287   -.03787    .00773
    .53333   -13.644   -.05237    .00663
    .53333   -13.001   -.06427    .00661
    .53333   -12.358   -.07365    .00672
    .53333   -11.715   -.08098    .00634
    .53333   -11.072   -.08581    .00536
    .53333   -10.429   -.08810    .00561
    .53333    -9.787   -.08868    .00690
    .53333    -9.144   -.09097    .00590
    .53333    -8.501   -.09133    .00571
    .53333    -7.858   -.09169    .00560
    .53333    -7.215   -.09189    .00582
    .53333    -6.572   -.09001    .00590
    .53333    -5.929   -.08907    .00598
    .53333    -5.287   -.08817    .00580
    .53333    -4.644   -.08725    .00559
    .53333    -4.001   -.08727    .00533
    .53333    -3.358   -.08746    .00530
    .53333    -2.715   -.08792    .00517
    .53333    -2.072   -.08932    .00502
    .53333    -1.429   -.09106    .00523
    .53333     -.787   -.09115    .00548
    .53333     -.144   -.09190    .00553
    .53333      .499   -.09295    .00555
    .53333     1.142   -.09257    .00475
    .53333     1.785   -.09278    .00460
    .53333     2.428   -.09278    .00485
    .53333     3.071   -.09348    .00523
    .53333     3.713   -.09261    .00508
    .53333     4.356   -.09176    .00497
    .53333     4.999   -.09001    .00534
    .53333     5.642   -.08686    .00511
    .53333     6.285   -.08340    .00547
    .53333     6.928   -.07956    .00577
    .53333     7.571   -.07560    .00613
    .53333     8.214   -.07059    .00582
    .53333     8.856   -.06629    .00534
    .53333     9.499   -.06188    .00494
    .53333    10.142   -.05686    .00477
    .53333    10.785   -.05191    .00441
    .59524   -78.430   -.01893    .00879
    .59524   -77.787   -.01149    .00884
    .59524   -77.144   -.00376    .00930
    .59524   -76.501    .00357    .00939
    .59524   -75.859    .01070    .00927
    .59524   -75.216    .01768    .00961
    .59524   -74.573    .02426    .01033
    .59524   -73.930    .03068    .01064
    .59524   -73.287    .03805    .01070
    .59524   -72.644    .04548    .01139
    .59524   -72.001    .05334    .01163
    .59524   -71.359    .06245    .01182
    .59524   -70.716    .07303    .01157
    .59524   -70.073    .08342    .01182
    .59524   -69.430    .09450    .01135
    .59524   -68.787    .10612    .01078
    .59524   -68.144    .11795    .01048
    .59524   -67.501    .13009    .01071
    .59524   -66.858    .14221    .01079
    .59524   -66.216    .15428    .01151
    .59524   -65.573    .16614    .01226
    .59524   -64.930    .17692    .01368
    .59524   -64.287    .18631    .01461
    .59524   -63.644    .19352    .01544
    .59524   -63.001    .19746    .01608
    .59524   -62.358    .19847    .01639
    .59524   -61.716    .19745    .01584
    .59524   -61.073    .19304    .01489
    .59524   -60.430    .17519    .01493
    .59524   -59.787    .13100    .01715
    .59524   -59.144    .07160    .01818
    .59524   -58.501    .00877    .01844
    .59524   -57.858   -.03952    .01496
    .59524   -57.216   -.05799    .01275
    .59524   -56.573   -.06148    .01115
    .59524   -55.930   -.05786    .01041
    .59524   -55.287   -.05518    .01004
    .59524   -54.644   -.05058    .00884
    .59524   -54.001   -.04975    .00768
    .59524   -53.358   -.05336    .00718
    .59524   -52.716   -.06347    .00795
    .59524   -52.073   -.08186    .00762
    .59524   -51.430   -.09969    .00725
    .59524   -50.787   -.11489    .00731
    .59524   -50.144   -.12360    .00743
    .59524   -49.501   -.12443    .00649
    .59524   -48.858   -.11922    .00633
    .59524   -48.216   -.10957    .00624
    .59524   -47.573   -.09883    .00610
    .59524   -46.930   -.08929    .00576
    .59524   -46.287   -.08258    .00608
    .59524   -45.644   -.07696    .00625
    .59524   -45.001   -.07243    .00598
    .59524   -44.358   -.07057    .00593
    .59524   -43.715   -.07080    .00673
    .59524   -43.073   -.07184    .00659
    .59524   -42.430   -.07501    .00617
    .59524   -41.787   -.08087    .00630
    .59524   -41.144   -.08737    .00626
    .59524   -40.501   -.09302    .00604
    .59524   -39.858   -.09662    .00609
    .59524   -39.215   -.09830    .00633
    .59524   -38.573   -.09919    .00537
    .59524   -37.930   -.09861    .00467
    .59524   -37.287   -.09697    .00455
    .59524   -36.644   -.09521    .00513
    .59524   -36.001   -.09436    .00573
    .59524   -35.358   -.09335    .00605
    .59524   -34.715   -.09271    .00681
    .59524   -34.073   -.09236    .00630
    .59524   -33.430   -.09219    .00606
    .59524   -32.787   -.09075    .00633
    .59524   -32.144   -.08888    .00687
    .59524   -31.501   -.08662    .00667
    .59524   -30.858   -.08360    .00644
    .59524   -30.215   -.07875    .00661
    .59524   -29.573   -.07286    .00679
    .59524   -28.930   -.06680    .00665
    .59524   -28.287   -.06100    .00732
    .59524   -27.644   -.05350    .00805
    .59524   -27.001   -.04586    .00842
    .59524   -26.358   -.03931    .00842
    .59524   -25.715   -.03213    .00885
    .59524   -25.073   -.02500    .00908
    .59524   -24.430   -.01919    .00940
    .59524   -23.787   -.01376    .00939
    .59524   -23.144   -.00689    .00996
    .59524   -22.501   -.00036    .01036
    .59524   -21.858    .00584    .01077
    .59524   -21.215    .01249    .01105
    .59524   -20.572    .02038    .01161
    .59524   -19.930    .02849    .01197
    .59524   -19.287    .03744    .01186
    .59524   -18.644    .04760    .01196
    .59524   -18.001    .05829    .01190
    .59524   -17.358    .06917    .01174
    .59524   -16.715    .08043    .01168
    .59524   -16.072    .09226    .01166
    .59524   -15.430    .10464    .01176
    .59524   -14.787    .11741    .01219
    .59524   -14.144    .13160    .01233
    .59524   -13.501    .14547    .01276
    .59524   -12.858    .15958    .01275
    .59524   -12.215    .17335    .01375
    .59524   -11.572    .18457    .01431
    .59524   -10.930    .19135    .01468
    .59524   -10.287    .19427    .01500
    .59524    -9.644    .19334    .01492
    .59524    -9.001    .18382    .01640
    .59524    -8.358    .15340    .02058
    .59524    -7.715    .09063    .02512
    .59524    -7.072    .01148    .02495
    .59524    -6.430   -.05247    .02048
    .59524    -5.787   -.08671    .01443
    .59524    -5.144   -.09170    .01064
    .59524    -4.501   -.08492    .01007
    .59524    -3.858   -.08201    .01029
    .59524    -3.215   -.07713    .00956
    .59524    -2.572   -.07318    .00898
