     R/R2    Teta(deg)    Cp    
    .53333   -91.033   -.03223
    .53333   -90.214   -.02590
    .53333   -89.396   -.01868
    .53333   -88.577   -.00980
    .53333   -86.940    .00690
    .53333   -85.303    .02560
    .53333   -83.666    .04485
    .53333   -82.848    .05518
    .53333   -82.029    .06395
    .53333   -78.713    .07996
    .53333   -76.830    .08855
    .53333   -74.948    .09506
    .53333   -73.311    .09251
    .53333   -72.492    .08794
    .53333   -71.674    .08089
    .53333   -70.855    .06915
    .53333   -70.036    .05228
    .53333   -68.399    .01636
    .53333   -66.762   -.03122
    .53333   -65.944   -.04736
    .53333   -65.534   -.05341
    .53333   -65.125   -.06544
    .53333   -64.716   -.06972
    .53333   -64.503   -.07434
    .53333   -64.307   -.07856
    .53333   -64.094   -.07936
    .53333   -63.897   -.08027
    .53333   -63.488   -.08337
    .53333   -62.670   -.08636
    .53333   -61.851   -.08385
    .53333   -61.032   -.09037
    .53333   -60.214   -.08398
    .53333   -59.395   -.08329
    .53333   -58.577   -.08330
    .53333   -56.940   -.08397
    .53333   -55.303   -.08354
    .53333   -53.666   -.08538
    .53333   -52.847   -.08882
    .53333   -52.029   -.09365
    .53333   -48.713   -.10243
    .53333   -46.830   -.09989
    .53333   -44.947   -.09010
    .53333   -43.310   -.07847
    .53333   -42.492   -.07354
    .53333   -41.673   -.07019
    .53333   -40.855   -.06490
    .53333   -40.036   -.06035
    .53333   -38.399   -.05062
    .53333   -36.762   -.03824
    .53333   -35.943   -.02562
    .53333   -35.534   -.02292
    .53333   -35.125   -.02246
    .53333   -34.716   -.01960
    .53333   -34.503   -.01861
    .53333   -34.306   -.01810
    .53333   -34.094   -.01802
    .53333   -33.897   -.01868
    .53333   -33.488   -.01168
    .53333   -32.669   -.00044
    .53333   -31.851    .01053
    .53333   -31.032    .01632
    .53333   -30.214    .02163
    .53333   -29.395    .03340
    .53333   -28.577    .04200
    .53333   -26.940    .05703
    .53333   -25.303    .06471
    .53333   -23.666    .07054
    .53333   -22.847    .06994
    .53333   -22.029    .07039
    .53333   -18.712    .05213
    .53333   -16.830    .02149
    .53333   -14.947   -.03078
    .53333   -13.310   -.06710
    .53333   -12.491   -.08141
    .53333   -11.673   -.08968
    .53333   -10.854   -.09222
    .53333   -10.036   -.09592
    .53333    -8.399   -.10063
    .53333    -6.762   -.09715
    .53333    -5.943   -.09852
    .53333    -5.534   -.09803
    .53333    -5.125   -.09937
    .53333    -4.716   -.09635
    .53333    -4.503   -.09775
    .53333    -4.306   -.09879
    .53333    -4.093   -.09934
    .53333    -3.897   -.09989
    .53333    -3.487   -.09593
    .53333    -2.669   -.09785
    .53333    -1.850   -.09679
    .53333    -1.032   -.10256
    .53333     -.213   -.09994
    .53333      .605   -.10241
    .53333     1.424   -.10284
    .53333     3.061   -.10047
    .53333     4.697   -.09649
    .53333     6.334   -.08930
    .53333     7.153   -.08715
    .53333     7.971   -.08454
    .59524   -78.033   -.01560
    .59524   -77.214   -.00324
    .59524   -76.396    .00456
    .59524   -75.577    .01191
    .59524   -73.940    .02973
    .59524   -72.303    .05195
    .59524   -70.666    .07856
    .59524   -69.848    .09250
    .59524   -69.029    .10869
    .59524   -65.713    .16802
    .59524   -63.830    .19097
    .59524   -61.948    .19926
    .59524   -60.311    .16943
    .59524   -59.492    .10848
    .59524   -58.674    .03161
    .59524   -57.855   -.04060
    .59524   -57.036   -.06605
    .59524   -55.399   -.06026
    .59524   -53.762   -.05912
    .59524   -52.944   -.06979
    .59524   -52.534   -.08384
    .59524   -52.125   -.09371
    .59524   -51.716   -.09286
    .59524   -51.503   -.10081
    .59524   -51.307   -.10813
    .59524   -51.094   -.11456
    .59524   -50.897   -.12040
    .59524   -50.488   -.12634
    .59524   -49.670   -.13106
    .59524   -48.851   -.12382
    .59524   -48.032   -.11537
    .59524   -47.214   -.10137
    .59524   -46.395   -.09071
    .59524   -45.577   -.08389
    .59524   -43.940   -.07793
    .59524   -42.303   -.08782
    .59524   -40.666   -.09891
    .59524   -39.847   -.10508
    .59524   -39.029   -.10994
    .59524   -35.713   -.10210
    .59524   -33.830   -.09843
    .59524   -31.947   -.09922
    .59524   -30.310   -.08917
    .59524   -29.492   -.08371
    .59524   -28.673   -.07815
    .59524   -27.855   -.07057
    .59524   -27.036   -.06285
    .59524   -25.399   -.04164
    .59524   -23.762   -.02588
    .59524   -22.943   -.01789
    .59524   -22.534   -.01242
    .59524   -22.125   -.00889
    .59524   -21.716   -.01123
    .59524   -21.503   -.01012
    .59524   -21.306   -.00986
    .59524   -21.094   -.00619
    .59524   -20.897   -.00287
    .59524   -20.488    .00305
    .59524   -19.669    .01230
    .59524   -18.851    .02351
    .59524   -18.032    .03694
    .59524   -17.214    .05286
    .59524   -16.395    .06778
    .59524   -15.577    .08243
    .59524   -13.940    .12078
    .59524   -12.303    .15467
    .59524   -10.666    .17472
    .59524    -9.847    .17188
    .59524    -9.029    .16345
    .59524    -5.712   -.10236
    .59524    -3.830   -.08978
    .59524    -1.947   -.07744
    .59524     -.310   -.09526
    .59524      .509   -.11304
    .59524     1.327   -.12444
    .59524     2.146   -.12554
    .59524     2.964   -.12125
    .59524     4.601   -.09458
    .59524     6.238   -.07859
    .59524     7.057   -.07647
    .59524     7.466   -.07438
    .59524     7.875   -.07404
    .59524     8.284   -.06916
    .59524     8.497   -.07078
    .59524     8.694   -.07274
    .59524     8.907   -.07259
    .59524     9.103   -.07241
    .59524     9.513   -.07750
    .59524    10.331   -.08489
    .59524    11.150   -.09980
    .59524    11.968   -.10324
