     Yi/Gi      Z/B      Cr/U2     Cu/U2  
    .00437    .05000    .19026    .40953
    .03620    .05000    .18745    .40392
    .05211    .05000    .18774    .39707
    .06803    .05000    .18750    .38862
    .08394    .05000    .18897    .37243
    .09986    .05000    .18728    .35548
    .13169    .05000    .18200    .31337
    .16352    .05000    .14434    .24513
    .17944    .05000    .10950    .24797
    .18740    .05000    .09372    .25152
    .19535    .05000    .08972    .26091
    .20331    .05000    .08536    .26246
    .20745    .05000    .08320    .26777
    .21127    .05000    .08183    .27152
    .21541    .05000    .07893    .26959
    .21923    .05000    .07408    .26902
    .22718    .05000    .06852    .28026
    .24310    .05000    .05223    .33428
    .25901    .05000    .00006    .42961
    .27493    .05000   -.04229    .53589
    .29085    .05000   -.02557    .62415
    .30676    .05000    .01997    .68355
    .32268    .05000    .08277    .69867
    .35451    .05000    .10419    .66425
    .38634    .05000    .14195    .64116
    .41817    .05000    .19911    .58847
    .43408    .05000    .21228    .55862
    .45000    .05000    .23146    .52554
    .51449    .05000    .21187    .42803
    .55110    .05000    .19211    .42408
    .58770    .05000    .18521    .41559
    .61953    .05000    .18535    .41837
    .63545    .05000    .18580    .42069
    .65136    .05000    .18665    .42300
    .66728    .05000    .18058    .42768
    .68319    .05000    .17499    .42812
    .71502    .05000    .16677    .42465
    .74686    .05000    .16522    .42159
    .76277    .05000    .15753    .42677
    .77073    .05000    .15712    .42800
    .77869    .05000    .16145    .42643
    .78664    .05000    .14716    .42904
    .79078    .05000    .14560    .42354
    .79460    .05000    .14430    .41931
    .79874    .05000    .13985    .41435
    .80256    .05000    .13418    .40907
    .81052    .05000    .12675    .38928
    .82643    .05000    .14152    .36878
    .84235    .05000    .15383    .36151
    .85826    .05000    .16998    .36337
    .87418    .05000    .17434    .37139
    .89009    .05000    .17939    .37344
    .90601    .05000    .18208    .37680
    .93784    .05000    .17890    .38382
    .96967    .05000    .17931    .38882
   1.00150    .05000    .18588    .39003
   1.01742    .05000    .18832    .39064
   1.03333    .05000    .19112    .38887
   1.09782    .05000    .20970    .34132
   1.13443    .05000    .19917    .29197
   1.17103    .05000    .11949    .27578
   1.20286    .05000    .07839    .33820
   1.21878    .05000    .07812    .36713
   1.23470    .05000    .07994    .39644
   1.25061    .05000    .06626    .43745
   1.26653    .05000    .03467    .49393
   1.29836    .05000    .06015    .58367
   1.33019    .05000    .09955    .62271
   1.34610    .05000    .06548    .63740
   1.35406    .05000    .05823    .62982
   1.36202    .05000    .05288    .63337
   1.36998    .05000    .04501    .62897
   1.37412    .05000    .05141    .62909
   1.37793    .05000    .05896    .62896
   1.38207    .05000    .05800    .61727
   1.38589    .05000    .05706    .60547
   1.39385    .05000    .07800    .59019
   1.40977    .05000    .12035    .56088
   1.42568    .05000    .17625    .52454
   1.44160    .05000    .19916    .49349
   1.45751    .05000    .23066    .47890
   1.47343    .05000    .22172    .48036
   1.48934    .05000    .21432    .47478
   1.52117    .05000    .20222    .43969
   1.55300    .05000    .21818    .41494
   1.58484    .05000    .23935    .41429
   1.60075    .05000    .24219    .41691
   1.61667    .05000    .24150    .41749
   1.68116    .05000    .18422    .39947
   1.71776    .05000    .18252    .40222
   1.75437    .05000    .17602    .41672
   1.78620    .05000    .17488    .42438
   1.80211    .05000    .17670    .42524
   1.81803    .05000    .17924    .42652
   1.83394    .05000    .17468    .42702
   1.84986    .05000    .17637    .42693
   1.88169    .05000    .17484    .43194
   1.91352    .05000    .17197    .43695
   1.92944    .05000    .16974    .44250
   1.93739    .05000    .15915    .44200
   1.94535    .05000    .16311    .44046
   1.95331    .05000    .14844    .44381
   1.95745    .05000    .14733    .43502
   1.96127    .05000    .14646    .42537
   1.96541    .05000    .13977    .42680
   1.96923    .05000    .13265    .42827
   1.97718    .05000    .12990    .40798
    .00437    .07500    .16891    .39930
    .03620    .07500    .17185    .39102
    .05211    .07500    .17450    .38547
    .06803    .07500    .17583    .37873
    .08394    .07500    .17486    .37010
    .09986    .07500    .17540    .35786
    .13169    .07500    .17474    .31017
    .16352    .07500    .14900    .23527
    .17944    .07500    .10710    .22423
    .18740    .07500    .09022    .22476
    .19535    .07500    .07331    .22762
    .20331    .07500    .06440    .23297
    .20745    .07500    .06733    .23802
    .21127    .07500    .07077    .24216
    .21541    .07500    .06667    .24544
    .21923    .07500    .06277    .24814
    .22718    .07500    .06029    .25488
    .24310    .07500    .03777    .31874
    .25901    .07500   -.01777    .42846
    .27493    .07500   -.03515    .57788
    .29085    .07500    .00788    .67668
    .30676    .07500    .07638    .70764
    .32268    .07500    .10749    .68611
    .35451    .07500    .16126    .63022
    .38634    .07500    .17960    .57745
    .41817    .07500    .16947    .50542
    .43408    .07500    .18071    .46475
    .45000    .07500    .19692    .42760
    .51449    .07500    .22483    .39772
    .55110    .07500    .19929    .40095
    .58770    .07500    .18315    .39612
    .61953    .07500    .17927    .38930
    .63545    .07500    .17816    .38988
    .65136    .07500    .18032    .39076
    .66728    .07500    .17934    .39640
    .68319    .07500    .17531    .40192
    .71502    .07500    .16054    .40921
    .74686    .07500    .14879    .40870
    .76277    .07500    .14490    .41252
    .77073    .07500    .14098    .41391
    .77869    .07500    .12888    .41511
    .78664    .07500    .12612    .40839
    .79078    .07500    .11879    .40147
    .79460    .07500    .11163    .39447
    .79874    .07500    .11095    .39198
    .80256    .07500    .11032    .38950
    .81052    .07500    .09894    .36996
    .82643    .07500    .11672    .34579
    .84235    .07500    .13502    .34492
    .85826    .07500    .14907    .34530
    .87418    .07500    .15661    .35135
    .89009    .07500    .16013    .35624
    .90601    .07500    .16226    .36156
    .93784    .07500    .16419    .36387
    .96967    .07500    .16644    .36336
   1.00150    .07500    .16715    .36320
   1.01742    .07500    .16796    .36206
   1.03333    .07500    .16970    .36052
   1.09782    .07500    .19378    .34895
   1.13443    .07500    .19444    .31697
   1.17103    .07500    .16504    .25906
   1.20286    .07500    .08889    .28555
   1.21878    .07500    .07609    .32110
   1.23470    .07500    .07462    .35097
   1.25061    .07500    .08218    .37413
   1.26653    .07500    .07731    .40685
   1.29836    .07500    .01661    .58510
   1.33019    .07500    .07929    .65374
   1.34610    .07500    .06673    .64883
   1.35406    .07500    .04580    .64988
   1.36202    .07500    .02629    .64361
   1.36998    .07500    .04087    .63889
   1.37412    .07500    .04144    .63841
   1.37793    .07500    .04304    .63573
   1.38207    .07500    .05360    .62910
   1.38589    .07500    .06246    .62279
   1.39385    .07500    .07132    .60343
   1.40977    .07500    .13200    .55143
   1.42568    .07500    .16228    .52458
   1.44160    .07500    .19268    .49992
   1.45751    .07500    .20377    .49153
   1.47343    .07500    .19229    .47297
