#
# ERCOFTAC Classic database (http://cfd.mace.manchester.ac.uk/ercoftac)
# Case 60: Swirling Boundary Layer in Conical Diffuser
#
# Experimental measurements: 
# P.D. Clausen, S.G. Koh and D.H. Wood. Measurements of a swirling turbulent boundary layer developing in a conical diffuser.
# Experimental Thermal and Fluid Science, 6:39-48, 1993.
# 
# Radial profile at the station -25mm based on the measurements for Velocity Axial, Velocity Circumferential and Turbulent Kinetic Energy.
# Hypothesis to complete the unspecified data: (y: distance from the wall)
#   * Velocity radial = 0
#   * K_[y:0-4mm] = K_[y:4mm]
#   * K_[y:20-130mm] = K_[y:20mm]
#   * Epsilon = (Rho * Cmu * K^2) / MuT, with MuT/Mu = 14.5
#
# See M. Page, A.M. Giroux and B. Masse. Turbulent swirling flow computation in a conical diffuser with commercial codes. 
#     Fourth Annual Conference of the CFD Society of Canada, Ottawa, June 2-6, 1996
#
# This case is part of the OpenFOAM TurboMachinery Special Interest Group.
#
# For more information about the TurboMachinery SIG, please visit
# http://openfoamwiki.net/index.php/Sig_Turbomachinery
# 
# 2008-03-14 Maryse Page, Hydro-Quebec - IREQ
#
[Data]
 R [ m ], Velocity Axial [ m s^-1 ], Velocity Radial [ m s^-1 ], Velocity Circumferential [ m s^-1 ], Pressure [ Pa ], Turbulence Kinetic Energy [ m^2 s^-2 ], Turbulence Eddy Dissipation [ m^2 s^-3 ]
0, 11.254, 0, 0, 0, 0.041, 0.696
0.01, 11.3167, 0, 0.5323, 0, 0.041, 0.696
0.02, 11.2489, 0, 0.8491, 0, 0.041, 0.696
0.03, 11.4579, 0, 1.4933, 0, 0.041, 0.696
0.05, 11.548, 0, 2.5852, 0, 0.041, 0.696
0.07, 11.8582, 0, 3.5917, 0, 0.041, 0.696
0.09, 12.0689, 0, 4.9395, 0, 0.041, 0.696
0.1, 12.2024, 0, 5.5142, 0, 0.041, 0.696
0.105, 12.2907, 0, 5.8125, 0, 0.041, 0.696
0.11, 12.3545, 0, 6.1504, 0, 0.041, 0.696
0.112, 12.3451, 0, 6.3669, 0, 0.04767, 0.94
0.114, 12.4299, 0, 6.4526, 0, 0.06083, 1.531
0.115, 12.4196, 0, 6.5169, 0, 0.07067, 2.066
0.116, 12.4332, 0, 6.5777, 0, 0.0805, 2.681
0.117, 12.387, 0, 6.638, 0, 0.1025, 4.347
0.118, 12.339, 0, 6.6965, 0, 0.1375, 7.823
0.119, 12.2967, 0, 6.7174, 0, 0.191, 15.096
0.12, 12.1761, 0, 6.7585, 0, 0.261, 28.188
0.121, 12.0701, 0, 6.7708, 0, 0.347, 49.824
0.122, 11.89, 0, 6.7642, 0, 0.4495, 83.607
0.123, 11.6428, 0, 6.8123, 0, 0.5675, 133.265
0.124, 11.2589, 0, 6.8597, 0, 0.6945, 199.585
0.125, 10.8375, 0, 6.792, 0, 0.8555, 302.847
0.126, 10.2369, 0, 6.6512, 0, 0.997, 411.314
0.127, 9.5891, 0, 6.3852, 0, 0.997, 411.314
0.128, 8.836, 0, 6.0096, 0, 0.997, 411.314
0.129, 7.6216, 0, 4.9674, 0, 0.997, 411.314
0.13, 0, 0, 0, 0, 0.997, 411.314
0.135, 0, 0, 0, 0, 0.997, 411.314
