#
# Radial profile at the inlet (-500mm) based on the Gyllenram and Nilsson velocity profile (Yokohama 2006) and on the k and epsilon Case1 default values
#
# Radial velocity = 0 [m/s]
# Turbulence Kinetic Energy = 2.0184 [m^2/s^2]
# Turbulence Eddy Dissipation = k^1.5 / l_t = 896.10908 [m^2/s^3]
#
# This case is part of the OpenFOAM TurboMachinery Special Interest Group
#
# For more information about the TurboMachinery SIG, please visit
# http://openfoamwiki.net/index.php/Sig_Turbomachinery
#
# 2008-04-10 Omar Bounous, Chalmers University of Technology
#
[Data]
 R [ m ], Velocity Axial [ m s^-1 ], Velocity Radial [ m s^-1 ], Velocity Circumferential [ m s^-1 ], Pressure [ Pa ], Turbulence Kinetic Energy [ m^2 s^-2 ], Turbulence Eddy Dissipation [ m^2 s^-3 ]
  0.00000000,  11.36800000,            0,       0.0000,            0,      2.01840,   896.109080
  0.00448276,  11.36800098,            0,       0.2360,            0,      2.01840,   896.109080
  0.00896552,  11.36801574,            0,       0.4720,            0,      2.01840,   896.109080
  0.01344828,  11.36807971,            0,       0.7080,            0,      2.01840,   896.109080
  0.01793103,  11.36825192,            0,       0.9440,            0,      2.01840,   896.109080
  0.02241379,  11.36861503,            0,       1.1800,            0,      2.01840,   896.109080
  0.02689655,  11.36927533,            0,       1.4160,            0,      2.01840,   896.109080
  0.03137931,  11.37036270,            0,       1.6520,            0,      2.01840,   896.109080
  0.03586207,  11.37203067,            0,       1.8880,            0,      2.01840,   896.109080
  0.04034483,  11.37445635,            0,       2.1240,            0,      2.01840,   896.109080
  0.04482759,  11.37784050,            0,       2.3600,            0,      2.01840,   896.109080
  0.04931034,  11.38240748,            0,       2.5960,            0,      2.01840,   896.109080
  0.05379310,  11.38840526,            0,       2.8320,            0,      2.01840,   896.109080
  0.05827586,  11.39610546,            0,       3.0680,            0,      2.01840,   896.109080
  0.06275862,  11.40580327,            0,       3.3040,            0,      2.01840,   896.109080
  0.06724138,  11.41781754,            0,       3.5400,            0,      2.01840,   896.109080
  0.07172414,  11.43249071,            0,       3.7760,            0,      2.01840,   896.109080
  0.07620690,  11.45018886,            0,       4.0120,            0,      2.01840,   896.109080
  0.08068966,  11.47130165,            0,       4.2480,            0,      2.01840,   896.109080
  0.08517241,  11.49624240,            0,       4.4840,            0,      2.01840,   896.109080
  0.08965517,  11.52544803,            0,       4.7200,            0,      2.01840,   896.109080
  0.09413793,  11.55937906,            0,       4.9560,            0,      2.01840,   896.109080
  0.09862069,  11.59851966,            0,       5.1920,            0,      2.01840,   896.109080
  0.10310345,  11.64337759,            0,       5.4280,            0,      2.01840,   896.109080
  0.10758621,  11.69448423,            0,       5.6640,            0,      2.01840,   896.109080
  0.11206897,  11.75239460,            0,       5.9000,            0,      2.01840,   896.109080
  0.11655172,  11.81768732,            0,       6.1360,            0,      2.01840,   896.109080
  0.12103448,  11.89096462,            0,       6.3720,            0,      2.01840,   896.109080
  0.12551724,  11.97285235,            0,       6.6080,            0,      2.01840,   896.109080
  0.13000000,  12.06400000,            0,       6.8440,            0,      2.01840,   896.109080
